player,season_end_year,squad,comp,archetype,archetype_name,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,table
Aaron Connolly,2020,Brighton,Premier League,3,Forward: Aerial Control + Distribution,-0.45021843287844376,-0.23179148665714422,0.16774066199458915,0.672369904814218,-2.1170326802152886,-0.2084255223748528,-1.5533432124088904,-0.44922460113218676,-0.5386065771025699,-0.4053825910341402,0.7155495208796765,FW
Aaron Connolly,2021,Brighton,Premier League,3,Forward: Aerial Control + Distribution,-0.7397113919156197,0.5857313414936272,0.28005214328390693,0.05709535978887459,-1.3911860694511233,0.6890094617111231,-1.4826523949875536,0.004827465143989684,-0.606436552308196,-0.6880320600673997,0.5381743524440594,FW
Aaron Leya Iseka,2020,Toulouse,Ligue 1,3,Forward: Aerial Control + Distribution,0.3065718648213078,0.12803935477001005,0.22516741868964374,0.10462149588990144,-2.083365045399887,-2.61678944119825,-1.7484766124518956,0.4160623431140493,-1.5229338272724533,-0.5508280885510999,1.258281433707964,FW
Aaron Leya Iseka,2021,Metz,Ligue 1,3,Forward: Aerial Control + Distribution,0.06138299690471172,0.9247673798382152,-1.769703834034658,-0.04407180449388193,-1.793690545340496,-2.0972559541992837,-1.2904365010567744,1.2787400138560088,-0.9631761878025031,-0.6269894868180472,1.42506390512699,FW
Aaron Malouda,2024,Lille,Ligue 1,0,Forward: Aerial Control + Possession Control,-4.652296731124494,-1.227496771315984,1.0488664145886553,-0.23919024860882132,1.5551063266918845,1.3443134614601036,-0.18216643406458388,-0.11651564324199626,-0.32456789937580766,0.5629185772766903,-0.16670081096623335,FW
Aaron Malouda,2025,Lille,Ligue 1,0,Forward: Aerial Control + Possession Control,-4.726054176263517,-1.0910535610100567,1.657666959992227,0.3187670435393244,2.3374547633379734,0.9089653675610521,-0.43219077898424985,0.3856247141569611,1.2549277856925016,-0.7015413934515777,-0.4561540574736114,FW
Aaron Seydel,2024,Darmstadt 98,Bundesliga,3,Forward: Aerial Control + Distribution,-0.08429018457076154,-1.7340713611979481,1.2317176926267557,0.12191757459378039,-0.04775526370190164,-2.1911235341561905,1.2989129623465487,1.4611211981035694,1.4403350639478276,-0.1518265956176208,-0.6348907774262784,FW
Abdallah Sima,2023,Angers,Ligue 1,3,Forward: Aerial Control + Distribution,-0.2855577457350762,-0.8229667535326826,0.45326003373562784,0.009604363187094123,-1.1267382064932008,-0.7550293833516548,0.7087548283850538,0.4866231148270117,1.0753748912916024,-0.4118110129750221,-0.1336539014659479,FW
Abdellah Raihani,2023,Atlético Madrid,La Liga,0,Forward: Aerial Control + Possession Control,-4.50953351523907,-0.07682874584050126,1.4574026386900414,-0.3968654008545087,1.0281825262652546,0.6902727802432764,-0.29814912341475974,-0.817228223637585,-0.48667381416052535,0.4849341323038914,-0.0046320097449097375,FW
Abdellah Raihani,2024,Atlético Madrid,La Liga,0,Forward: Aerial Control + Possession Control,-3.3848262744263593,-1.4337484257273587,2.2115562329326828,0.5209581223004278,-0.09085266267538827,1.1666333671184361,0.9563482559208296,-0.40426910093117385,0.9418973644007451,-0.15614166016470676,1.1866873959506279,FW
