column_name
Player
Season_End_Year
Squad
Comp
Nation
Pos
Age
Born
MP_Playing
Starts_Playing
Min_Playing
Mins_Per_90_Playing
Gls
Ast
G+A
G_minus_PK
PK
PKatt
CrdY
CrdR
PrgC_Progression
PrgP_Progression
PrgR_Progression
Gls_Per
Ast_Per
G+A_Per
G_minus_PK_Per
G+A_minus_PK_Per
xG_Expected
npxG_Expected
xAG_Expected
npxG+xAG_Expected
xG_Per
xAG_Per
xG+xAG_Per
npxG_Per
npxG+xAG_Per
Url
season_end_year
Mins_Per_90
Gls_Standard
Sh_Standard
SoT_Standard
SoT_percent_Standard
Sh_per_90_Standard
SoT_per_90_Standard
G_per_Sh_Standard
G_per_SoT_Standard
Dist_Standard
PK_Standard
PKatt_Standard
FK_Standard
npxG_per_Sh_Expected
G_minus_xG_Expected
np:G_minus_xG_Expected
Cmp_Total
Att_Total
Cmp_percent_Total
TotDist_Total
PrgDist_Total
Cmp_Short
Att_Short
Cmp_percent_Short
Cmp_Medium
Att_Medium
Cmp_percent_Medium
Cmp_Long
Att_Long
Cmp_percent_Long
xA
A_minus_xA
KP
Final_Third
PPA
CrsPA
Prog
xAG
A_minus_xAG
PrgP
xA_Expected
A_minus_xAG_Expected
Att
Live_Pass
Dead_Pass
FK_Pass
TB_Pass
Sw_Pass
Crs_Pass
TI_Pass
CK_Pass
In_Corner
Out_Corner
Str_Corner
Cmp_Outcomes
Off_Outcomes
Blocks_Outcomes
Tkl_Tackles
TklW_Tackles
Def 3rd_Tackles
Mid 3rd_Tackles
Att 3rd_Tackles
Tkl_Challenges
Att_Challenges
Tkl_percent_Challenges
Lost_Challenges
Blocks_Blocks
Sh_Blocks
Pass_Blocks
Int
Tkl+Int
Clr
Err
Touches_Touches
Def Pen_Touches
Def 3rd_Touches
Mid 3rd_Touches
Att 3rd_Touches
Att Pen_Touches
Live_Touches
Att_Take
Succ_Take
Succ_percent_Take
Tkld_Take
Tkld_percent_Take
Carries_Carries
TotDist_Carries
PrgDist_Carries
PrgC_Carries
Final_Third_Carries
CPA_Carries
Mis_Carries
Dis_Carries
Rec_Receiving
PrgR_Receiving
MP_Playing.Time
Min_Playing.Time
Mn_per_MP_Playing.Time
Min_percent_Playing.Time
Mins_Per_90_Playing.Time
Starts_Starts
Mn_per_Start_Starts
Compl_Starts
Subs_Subs
Mn_per_Sub_Subs
unSub_Subs
PPM_Team.Success
onG_Team.Success
onGA_Team.Success
plus_per__minus__Team.Success
plus_per__minus_90_Team.Success
On_minus_Off_Team.Success
onxG_Team.Success..xG.
onxGA_Team.Success..xG
xGplus_per__minus__Team.Success..xG
xGplus_per__minus_90_Team.Success..xG
On_minus_Off_Team.Success..xG
2CrdY
Fls
Fld
Off
Crs
TklW
PKwon
PKcon
OG
Recov
Won_Aerial
Lost_Aerial
Won_percent_Aerial
GA
GA90
SoTA
Saves
Save_percent
W
D
L
CS
CS_percent
PKatt_Penalty
PKA_Penalty
PKsv_Penalty
PKm_Penalty
Save_percent_Penalty
GA_Goals
PKA_Goals
FK_Goals
CK_Goals
OG_Goals
PSxG_Expected
PSxG_per_SoT_Expected
PSxG+_per__minus__Expected
_per_90_Expected
Cmp_Launched
Att_Launched
Cmp_percent_Launched
Att_Passes
Thr_Passes
Launch_percent_Passes
AvgLen_Passes
Att_Goal
Launch_percent_Goal
AvgLen_Goal
Opp_Crosses
Stp_Crosses
Stp_percent_Crosses
#OPA_Sweeper
#OPA_per_90_Sweeper
AvgDist_Sweeper
Att (GK)_Passes
Pos_updated
position_group_model
