player,season_end_year,squad,comp,archetype,archetype_name,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,table
Aaron Anselmino,2025,Chelsea,Premier League,3,Defender: Distribution,-7.5245051797814995,1.0650775539655655,0.8450210995583802,-0.04904980175103901,-0.18777087399007542,-1.0658594753391526,1.34584068282129,-0.7101643947513594,0.9254122932135829,-0.032845610151923665,DF
Aaron Cresswell,2020,West Ham,Premier League,0,Defender: Possession Control + Distribution,2.174500580087823,1.9039802931004033,-1.7058020042114777,0.199122369077827,-0.36112760854757653,0.7341011161959727,-1.3483532240979912,0.9563234404803325,-0.4962124178465501,-0.3084083639367776,DF
Aaron Cresswell,2021,West Ham,Premier League,0,Defender: Possession Control + Distribution,2.991071869822889,1.477695583512542,1.0904417995230915,-0.14622183261485588,-0.9639991220290085,-0.2859104213117689,-1.361960695390053,1.7014659845428923,-0.3692834521306736,1.0059425497957903,DF
Aaron Cresswell,2022,West Ham,Premier League,0,Defender: Possession Control + Distribution,3.3435244173603564,1.0154859639453804,0.6916745311980321,0.7239586328753376,-0.22558699539717963,-0.061028402924762304,-1.0529277974732167,0.303144813375269,0.08804206869245945,0.20404339950499661,DF
Aaron Cresswell,2023,West Ham,Premier League,0,Defender: Possession Control + Distribution,2.0114524570675485,2.127030023240266,0.539383485441931,1.2085866842120367,0.6713873278370102,-0.45266049329237035,-0.609162828532817,1.1789545337582865,-0.18969521117639943,0.46485161884294257,DF
Aaron Cresswell,2024,West Ham,Premier League,0,Defender: Possession Control + Distribution,1.8248047491498198,0.37645475217826174,1.1158786890425745,1.8368110823939787,0.8225010700311941,-0.1463217985276799,0.26001812663866986,0.8398326203867441,0.008301606447844279,-0.28146523068791396,DF
Aaron Cresswell,2025,West Ham,Premier League,2,Defender: Distribution + Progression,-1.0052865942002143,0.1559781324182552,3.4920289104577478,2.786313514322387,2.163010761677924,0.354514897308718,-0.22920351651202964,0.8298294998624556,-0.565435954812699,0.45440519011688707,DF
Aaron Hickey,2021,Bologna,Serie A,0,Defender: Possession Control + Distribution,1.6668895695302695,0.11974288670626265,-1.1960714183599066,0.14469762666999486,-0.5881231179284896,-0.3317801483497078,-1.3438121337118218,0.09812231879095634,-0.40192211359902785,-0.3330835509438117,DF
Aaron Hickey,2022,Bologna,Serie A,0,Defender: Possession Control + Distribution,0.49604661344753254,1.5036745980405755,-1.0152182011958075,-0.37722163013927457,0.5849104654487292,0.23979344300900607,-0.869276406129643,-0.35612843128518534,-0.34486781526629784,-0.6810125505264324,DF
Aaron Hickey,2023,Brentford,Premier League,0,Defender: Possession Control + Distribution,0.17099522319924176,0.083077268645809,0.2244606741980988,-0.19063881243721426,0.48164304946431,-0.9098035917168374,-0.28082983695139774,0.12037564099762221,-0.13298258999020618,-0.32772471709593276,DF
