player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Vedat Muriqi,2025,30.0,FW,La Liga,8000000.0,15.237152102837333,4143916.286236885,-3856083.713763115
Ozan Kabak,2024,24.0,DF,Bundesliga,10000000.0,15.630738805908374,6142477.025435376,-3857522.974564624
Jacob Bruun Larsen,2021,21.0,FW,Bundesliga,5500000.0,14.311334733994897,1641849.8557044985,-3858150.1442955015
Kenny Tete,2021,24.0,DF,Ligue 1,5000000.0,13.948035989742023,1141707.0513853899,-3858292.9486146104
Antonio Sivera,2025,27.0,GK,La Liga,6000000.0,14.576760220115862,2140949.0136803226,-3859050.9863196774
Bernd Leno,2022,29.0,GK,Premier League,9000000.0,15.452393158174319,5139122.811306992,-3860877.1886930084
Hugo Magnetti,2025,26.0,MF,Ligue 1,7000000.0,14.958631737221332,3136541.8157202983,-3863458.1842797017
Niklas Dorsch,2022,23.0,MF,Bundesliga,10000000.0,15.629412564848188,6134336.018528849,-3865663.981471151
Adrien Thomasson,2023,28.0,MF,Ligue 1,6000000.0,14.572659899588661,2132188.4053167384,-3867811.5946832616
Jonathan Ikone,2025,26.0,FW,Serie A,8000000.0,15.234026670522464,4130984.9717408763,-3869015.0282591237
Isak Hien,2023,23.0,DF,Serie A,6000000.0,14.56935197699311,2125146.9405359705,-3874853.0594640295
Lucas Tousart,2024,27.0,MF,Bundesliga,7000000.0,14.953933944732666,3121841.544886508,-3878158.455113492
Jordan Veretout,2020,26.0,MF,Serie A,24000000.0,16.817130107678388,20118091.80458763,-3881908.1954123713
Gerard Moreno,2024,32.0,FW,La Liga,10000000.0,15.62637453323213,6115727.988926238,-3884272.0110737616
Omar Alderete,2022,24.0,DF,La Liga,10000000.0,15.626371735112762,6115710.876410445,-3884289.123589555
VladimÃ­r Coufal,2022,28.0,DF,Premier League,12000000.0,15.908765681671422,8111274.443035033,-3888725.5569649674
Koen Casteels,2020,27.0,GK,Bundesliga,10500000.0,15.704044903417142,6609673.079440471,-3890326.920559529
Manuel Locatelli,2025,26.0,MF,Serie A,28000000.0,16.99801940699452,24107157.9687454,-3892842.0312546007
TiemouÃ© Bakayoko,2022,26.0,MF,Serie A,10000000.0,15.62482558228749,6106262.357523564,-3893737.6424764358
Ben Gibson,2020,26.0,DF,Premier League,4500000.0,13.309456602133787,602868.8422832636,-3897131.157716736
JoaquÃ­n Correa,2022,26.0,FW,Serie A,23000000.0,16.765059944075542,19097345.25959234,-3902654.7404076606
Alex Telles,2023,29.0,DF,La Liga,7500000.0,15.09568242257205,3597256.913765843,-3902743.086234157
Ellyes Skhiri,2023,27.0,MF,Bundesliga,13000000.0,16.022597898608073,9089203.04586098,-3910796.9541390203
Tariq Lamptey,2025,23.0,DF,Premier League,12000000.0,15.90487524127504,8079779.314070871,-3920220.685929129
NehuÃ©n PÃ©rez,2023,22.0,DF,Serie A,10000000.0,15.620301620724085,6078700.248766093,-3921299.7512339074
Manu Trigueros,2020,27.0,MF,La Liga,12000000.0,15.904394768612866,8075898.132988959,-3924101.8670110414
Oumar Solet,2020,19.0,DF,Ligue 1,4500000.0,13.262923397802258,575458.0780287689,-3924541.9219712312
Jonas Omlin,2021,26.0,GK,Ligue 1,8000000.0,15.220245186646489,4074444.3568560756,-3925555.6431439244
Santiago AscacÃ­bar,2022,24.0,MF,Bundesliga,6500000.0,14.760760995424365,2573456.788124922,-3926543.211875078
Roger MartÃ­,2020,28.0,FW,La Liga,8000000.0,15.219968135008116,4073315.6814524047,-3926684.3185475953
Youssouf Sabaly,2021,27.0,DF,Ligue 1,6500000.0,14.759774667501153,2570919.7662227377,-3929080.2337772623
Andoni Gorosabel,2023,25.0,DF,La Liga,9000000.0,15.438966112886815,5070580.751583278,-3929419.248416722
Jerdy Schouten,2021,23.0,MF,Serie A,9000000.0,15.438739131963548,5069429.956864965,-3930570.043135035
Roberto Inglese,2021,28.0,FW,Serie A,6000000.0,14.542648240001279,2069148.5594983364,-3930851.440501664
Sehrou Guirassy,2020,23.0,FW,Ligue 1,8000000.0,15.218849522981523,4068761.767930484,-3931238.232069516
Borja Iglesias,2022,28.0,FW,La Liga,15000000.0,16.219517206113395,11067429.966960307,-3932570.033039693
Davide Faraoni,2020,27.0,DF,Serie A,6000000.0,14.540683278624767,2065086.7524855563,-3934913.2475144435
Kelvin Yeboah,2022,21.0,FW,Serie A,5000000.0,13.87507210719786,1061370.0855460437,-3938629.9144539563
Carmona,2025,22.0,DF,La Liga,7500000.0,15.083342471061465,3553139.687580463,-3946860.312419537
PrzemysÅaw Frankowski,2024,29.0,DF,Ligue 1,9000000.0,15.434299635157416,5046974.117518665,-3953025.8824813347
Nico Elvedi,2025,27.0,DF,Bundesliga,8000000.0,15.213082658519257,4045365.291513721,-3954634.708486279
Benjamin Henrichs,2024,27.0,DF,Bundesliga,20000000.0,16.590742325885493,16042343.665695349,-3957656.3343046512
Sebastian Walukiewicz,2021,20.0,DF,Serie A,7500000.0,15.079054822492266,3537937.682711781,-3962062.317288219
RÄzvan Marin,2023,26.0,MF,Serie A,8000000.0,15.210587051229986,4035282.2328193896,-3964717.7671806104
Aaron Ramsdale,2022,23.0,GK,Premier League,28000000.0,16.99481368308758,24030000.811259553,-3969999.188740447
Dominic Calvert-Lewin,2024,27.0,FW,Premier League,22000000.0,16.707395057774264,18027248.960330877,-3972751.0396691225
Lorenzo Pirola,2023,20.0,DF,Serie A,8000000.0,15.208358589812008,4026299.772075312,-3973700.227924688
Jean Butez,2025,29.0,GK,Serie A,5000000.0,13.835896161245682,1020593.8088677293,-3979406.1911322707
Å ime Vrsaljko,2021,28.0,DF,La Liga,5000000.0,13.834607965143555,1019279.9290622097,-3980720.0709377904
Juanmi,2024,31.0,FW,La Liga,6000000.0,14.512532015466025,2007762.58330855,-3992237.41669145
Hugo Siquet,2022,19.0,DF,Bundesliga,5500000.0,14.221531832359489,1500833.4814642938,-3999166.518535706
Flavius Daniliuc,2024,23.0,DF,Serie A,6000000.0,14.508821553451579,2000326.656691515,-3999673.343308485
Montassar Talbi,2024,26.0,DF,Ligue 1,7000000.0,14.914042839603711,2999758.9885154134,-4000241.0114845866
Aaron Connolly,2022,21.0,FW,Premier League,6000000.0,14.50616505493307,1995019.8411296643,-4004980.1588703357
Domagoj BradariÄ,2024,24.0,DF,Serie A,5000000.0,13.80952343525644,994029.7643960926,-4005970.235603907
Adnan Januzaj,2023,27.0,FW,La Liga,6000000.0,14.504430598764364,1991562.5640395773,-4008437.4359604227
Rob Holding,2024,28.0,DF,Premier League,5000000.0,13.806540820840214,991069.3709587401,-4008930.62904126
Giulio Maggiore,2023,24.0,MF,Serie A,5500000.0,14.21355502119567,1488909.230195621,-4011090.769804379
Mislav OrÅ¡iÄ,2023,29.0,MF,Premier League,5000000.0,13.802381150177592,986955.4069117894,-4013044.5930882106
Patric,2021,27.0,DF,Serie A,6500000.0,14.723530604020455,2479407.555517374,-4020592.444482626
Sergio Camello,2023,21.0,FW,La Liga,10000000.0,15.603026091383972,5974589.341766835,-4025410.658233165
Ruben Aguilar,2022,28.0,DF,Ligue 1,10000000.0,15.602054553495202,5968787.619632714,-4031212.3803672856
Gian Marco Ferrari,2022,29.0,DF,Serie A,7000000.0,14.903343482492057,2967834.5750474976,-4032165.4249525024
Matz Sels,2020,27.0,GK,Ligue 1,6500000.0,14.715614598568433,2459858.023063008,-4040141.976936992
Joshua Zirkzee,2021,19.0,FW,Bundesliga,8000000.0,15.191414737054549,3958653.4377976223,-4041346.5622023777
Yann M'Vila,2021,30.0,MF,Ligue 1,5000000.0,13.772896239972924,958279.9105101736,-4041720.0894898265
