player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Lamine Fomba,2020,21.0,MF,Ligue 1,3600000.0,14.75139091035412,2549455.890554804,-1050544.109445196
Mattia Perin,2023,29.0,GK,Serie A,4000000.0,14.89708141109266,2949307.845169043,-1050692.1548309568
VukaÅ¡in JovanoviÄ,2021,24.0,DF,Ligue 1,1500000.0,13.01530724999417,449236.6212432994,-1050763.3787567005
Kingsley Ehizibue,2025,29.0,DF,Serie A,3000000.0,14.48285435385409,1949052.3553155088,-1050947.6446844912
Dedryck Boyata,2022,30.0,DF,Bundesliga,3500000.0,14.709944459942966,2445949.749585574,-1054050.250414426
Alessandro SchÃ¶pf,2020,25.0,MF,Bundesliga,3500000.0,14.709927384127697,2445907.983339016,-1054092.0166609841
Arkadiusz Reca,2023,27.0,DF,Serie A,3000000.0,14.48115644078898,1945745.8400410297,-1054254.1599589703
CÃ©dric Hountondji,2022,27.0,DF,Ligue 1,3000000.0,14.480575781021576,1944616.351089595,-1055383.648910405
Jonas LÃ¶ssl,2021,31.0,GK,Premier League,1500000.0,13.003155020936958,443810.4197672413,-1056189.5802327588
TimothÃ©e Kolodziejczak,2022,29.0,DF,Ligue 1,2500000.0,14.182119480733746,1442832.5494176827,-1057167.4505823173
Oumar Gonzalez,2023,24.0,DF,Ligue 1,2500000.0,14.181970837113138,1442618.0973538223,-1057381.9026461777
Dion Sanderson,2022,21.0,DF,Premier League,2500000.0,14.181779975525767,1442342.7830572282,-1057657.2169427718
Adrian GrbiÄ,2021,23.0,FW,Ligue 1,5000000.0,15.187123721939093,3941703.1846728264,-1058296.8153271736
Oleksandr Zinchenko,2024,27.0,DF,Premier League,38000000.0,17.424834898895586,36941083.80188661,-1058916.1981133893
Ahmed Hegazi,2021,29.0,DF,Premier League,4000000.0,14.894073348288472,2940449.4688894646,-1059550.5311105354
Mario Gaspar,2021,29.0,DF,La Liga,5000000.0,15.1867959032515,3940411.2321547875,-1059588.7678452125
Adrien Truffert,2022,19.0,DF,Ligue 1,12000000.0,16.207955110158824,10940204.18381995,-1059795.8161800504
Sada Thioub,2022,26.0,FW,Ligue 1,2000000.0,13.75348580823517,939858.6252321118,-1060141.3747678883
Davide Zappacosta,2024,31.0,DF,Serie A,6000000.0,15.412643618504475,4938851.71618677,-1061148.2838132298
Sergio Ramos,2024,38.0,DF,La Liga,2500000.0,14.179301356604384,1438772.1893639576,-1061227.8106360424
CÃ¡rdenas,2024,27.0,GK,La Liga,1800000.0,13.51242929034718,738538.0746208781,-1061461.925379122
Walid Cheddira,2024,26.0,FW,Serie A,6000000.0,15.412457507905902,4937932.628880093,-1062067.3711199071
