player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
M'Bala Nzola,2021,23.0,FW,Serie A,4000000.0,16.616258045691755,16456942.538009819,12456942.538009819
Manor Solomon,2023,23.0,FW,Premier League,18000000.0,17.228956642442622,30369719.761910107,12369719.761910107
Bobby Adekanye,2020,20.0,FW,Serie A,800000.0,16.393275456559884,13167673.157406239,12367673.157406239
Andrey Galabinov,2021,31.0,FW,Serie A,700000.0,16.383396373187065,13038229.053894747,12338229.053894747
Alfie Gilchrist,2024,20.0,DF,Premier League,5000000.0,16.66698896058828,17313358.044648185,12313358.044648185
Jamie Vardy,2021,33.0,FW,Premier League,7000000.0,16.769408115043873,19180564.58097299,12180564.580972988
Rhys Williams,2021,19.0,DF,Premier League,5000000.0,16.658829143799753,17172659.02662933,12172659.026629329
Gonzalo Villar,2020,21.0,MF,Serie A,3000000.0,16.5327436781239,15138377.17122896,12138377.17122896
Liam Delap,2025,21.0,FW,Premier League,20000000.0,17.282454732269812,32038687.056317218,12038687.056317218
Luka Romero,2023,17.0,FW,Serie A,3000000.0,16.523542608750418,14999726.747729748,11999726.747729748
JÃ¼rgen Locadia,2020,25.0,FW,Bundesliga,8000000.0,16.810861991163776,19992383.643119868,11992383.643119868
Edinson Cavani,2021,33.0,FW,Premier League,6000000.0,16.701744384659087,17925670.12831214,11925670.12831214
Antonios Papadopoulos,2023,22.0,DF,Bundesliga,600000.0,16.339504875340776,12478338.70180165,11878338.70180165
Ãlex FernÃ¡ndez,2021,27.0,MF,La Liga,6000000.0,16.697126701214337,17843085.87422365,11843085.87422365
Alfie Dorrington,2025,19.0,DF,Premier League,700000.0,16.338146361007094,12461398.208013417,11761398.208013417
Kristoffer Askildsen,2020,18.0,MF,Serie A,1000000.0,16.361546409821983,12756434.021585122,11756434.021585122
Danilo Cataldi,2020,24.0,MF,Serie A,3200000.0,16.518875259383613,14929880.902199904,11729880.902199904
Myles Lewis-Skelly,2025,17.0,DF,Premier League,7500000.0,16.770701349161317,19205385.58900205,11705385.58900205
Luis Javier SuÃ¡rez,2024,26.0,FW,La Liga,3500000.0,16.526475119540127,15043778.17025981,11543778.17025981
Danny Ings,2023,30.0,FW,Premier League,12000000.0,16.969021811694986,23418146.447315462,11418146.447315462
Teemu Pukki,2020,29.0,FW,Premier League,8000000.0,16.780886082451072,19401986.79513124,11401986.79513124
Jhon Solis,2025,19.0,MF,La Liga,3750000.0,16.527649238395863,15061451.728443773,11311451.728443773
Danny Welbeck,2021,29.0,FW,Premier League,4000000.0,16.54148728559483,15271321.567540124,11271321.567540124
Jamie Vardy,2022,34.0,FW,Premier League,5000000.0,16.603698013766188,16251535.46180802,11251535.46180802
Nemanja Radoja,2020,26.0,MF,La Liga,3200000.0,16.477249298091454,14321167.253127402,11121167.253127402
Joan JordÃ¡n,2025,30.0,MF,La Liga,2500000.0,16.42665844171206,13614668.94402508,11114668.94402508
JesÃºs Vallejo,2023,25.0,DF,La Liga,2000000.0,16.38835549830928,13103047.85754277,11103047.85754277
Timothy Fosu-Mensah,2020,21.0,DF,Premier League,6300000.0,16.66946226412866,17356232.23545721,11056232.235457212
James Bree,2023,24.0,DF,Premier League,2000000.0,16.384319422346415,13050269.537309568,11050269.537309568
Robbie Brady,2020,27.0,MF,Premier League,4800000.0,16.572241349868,15748273.31400168,10948273.31400168
Stephy Mavididi,2025,26.0,FW,Premier League,11000000.0,16.899651966404463,21848698.677427676,10848698.677427676
Jon Guridi,2022,26.0,MF,La Liga,1200000.0,16.30299836232235,12031012.86340974,10831012.86340974
Gerard Moreno,2025,32.0,FW,La Liga,5000000.0,16.57651413312605,15815706.237374997,10815706.237374997
RubÃ©n Pardo,2020,26.0,MF,Ligue 1,2400000.0,16.392594040449126,13158703.548459256,10758703.548459256
Brandon Williams,2020,18.0,DF,Premier League,11000000.0,16.893824895363824,21721754.96646773,10721754.96646773
Rekeem Harper,2021,20.0,MF,Premier League,2500000.0,16.39534189180113,13194911.436707849,10694911.436707849
Jack Cork,2022,32.0,MF,Premier League,1800000.0,16.340078812494095,12485502.540168107,10685502.540168107
Christian Oliva,2020,23.0,MF,Serie A,4000000.0,16.499914241739923,14649462.062619075,10649462.062619075
Luka Romero,2024,19.0,FW,La Liga,5000000.0,16.563689121719197,15614164.759991096,10614164.759991096
LukÃ¡Å¡ HaraslÃ­n,2020,23.0,FW,Serie A,1600000.0,16.31748398564386,12206557.968958694,10606557.968958694
Borja Mayoral,2022,24.0,FW,La Liga,9000000.0,16.789814881495786,19575998.94892899,10575998.94892899
Woyo Coulibaly,2025,25.0,DF,Premier League,2000000.0,16.33891862575089,12471025.424181461,10471025.424181461
Domingos Quina,2021,20.0,MF,La Liga,3000000.0,16.415809818571326,13467766.804364767,10467766.804364767
Francisco Sierralta,2022,24.0,DF,Premier League,1500000.0,16.295796476712177,11944678.137362728,10444678.137362728
Tom Cairney,2023,31.0,MF,Premier League,2000000.0,16.336162456754373,12436700.492182108,10436700.492182108
Jason Steele,2023,31.0,GK,Premier League,4000000.0,16.473185968905284,14263093.698072642,10263093.698072642
Tim Ream,2024,36.0,DF,Premier League,500000.0,16.191466461972567,10761294.036122048,10261294.036122048
Chimuanya Ugochukwu,2022,17.0,MF,Ligue 1,3000000.0,16.398871566206275,13241567.47328381,10241567.47328381
Leander Dendoncker,2024,29.0,MF,Premier League,7000000.0,16.653380596505475,17079347.4135167,10079347.4135167
Billy Sharp,2020,33.0,FW,Premier League,1600000.0,16.270318098943548,11644191.303364577,10044191.303364577
Oussama El Azzouzi,2024,23.0,MF,Serie A,2500000.0,16.342853893959983,12520198.950050063,10020198.950050063
Felipe Caicedo,2021,31.0,FW,Serie A,4000000.0,16.45097634315439,13949807.5643858,9949807.5643858
Jarrad Branthwaite,2020,17.0,DF,Premier League,2000000.0,16.295710436490904,11943650.458738197,9943650.458738197
